Bins(cm),Species ,Length(cm),Notes,QUA,Line
10,VAR,3.7,alive,2,29
10,VAR,4.1,alive,2,29
10,VAR,3.8,alive,2,29
10,VAR,2.8,alive,2,29
10,VAR,5.1,dead,2,29
10,VAR,3.9,dead,2,29
10,VAR,4.4,dead,2,29
10,VAR,2.3,dead,2,29
15,VAR,5.6,alive,2,29
15,VAR,5.3,alive,2,29
15,VAR,5.6,alive,2,29
5,VAR,5.2,alive,3,29
5,MAN,4.6,alive,3,29
5,MAN,5.1,alive,3,29
5,MAN,4.5,alive,3,29
5,MAN,4.1,alive,3,29
5,LIT,4.8,alive,3,29
5,MAN,4.5,alive,3,29
5,MAN,4.4,alive,3,29
5,MAN,4.2,alive,3,29
5,MAN,5.4,alive,3,29
5,MAN,3.7,alive,3,29
10,LIT,4.4,alive,3,29
10,VAR,4,alive,3,29
10,LIT,3.7,dead,3,29
10,VAR,5.1,alive,3,29
10,VAR,4,alive,3,29
10,MAN,5.1,alive,3,29
10,LIT,4.4,alive,3,29
5,LIT,4.4,alive,4,29
5,MAN,5.3,alive,4,29
5,MAN,5.3,alive,4,29
5,MAN,5.3,alive,4,29
5,MAN,5.4,alive,4,29
5,MAN,4.9,alive,4,29
5,MAN,4.7,alive,4,29
5,MAN,4.4,alive,4,29
5,MAN,3.9,alive,4,29
5,MAN,3.9,alive,4,29
5,MAN,2.4,alive,4,29
5,LIT,4.4,dead,4,29
5,LIT,4.2,dead,4,29
5,LIT,4.5,dead,4,29
5,LIT,4.5,dead,4,29
5,SOS,7.8,dead,4,29
5,SOS,7.4,dead,4,29
5,SOS,6.5,dead,4,29
10,MAN,4.5,alive,4,29
10,MAN,3.4,alive,4,29
10,MAN,3.1,alive,4,29
10,LIT,5.1,dead,4,29
10,LIT,5.2,dead,4,29
10,LIT,4.3,dead,4,29
10,LIT,4.3,dead,4,29
10,LIT,3.4,dead,4,29
10,LIT,3.5,dead,4,29
15,VAR,4.3,alive,4,29
15,MAC,1.5,alive,4,29
15,LIT,5.2,dead,4,29
15,LIT,4.8,dead,4,29
15,LIT,5.6,dead,4,29
15,LIT,4.4,dead,4,29
15,SOS,5.9,dead,4,29
15,SOS,4.1,dead,4,29
